序号,法律名,法律文号,url
1,民法典,第39/99/M號法令,https://bo.io.gov.mo/bo/i/99/31/codcivcn/default.asp
2,民事登記法典,第59/99/M號法令,https://bo.io.gov.mo/bo/i/99/42/codregcivcn/default.asp
3,民事訴訟法典,第55/99/M號法令,https://bo.io.gov.mo/bo/i/99/40/codprocivcn/default.asp
4,物業登記法典,第46/99/M號 法令,https://bo.io.gov.mo/bo/i/99/38/codrpcn/codrp001.asp
5,刑法典,第58/95/M號法令,https://bo.io.gov.mo/bo/i/95/46/codpencn/declei58.asp
6,刑事訴訟法典,第48/96/M號法令,https://bo.io.gov.mo/bo/i/96/36/codpropencn/default.asp
